gene_id	cis.lfc	Sascha
FBgn0033972	0.71884159	?
FBgn0033653	0.716286649	?
FBgn0031834	0.715195061	?
FBgn0023477	0.71438255	?
FBgn0035721	0.711885543	?
FBgn0031515	0.71057488	?
FBgn0033518	0.688423507	?
FBgn0033092	0.677415735	?
FBgn0032682	0.672897698	?
FBgn0039543	0.669832783	?
FBgn0032681	0.665747567	?
FBgn0033777	0.664931645	?
FBgn0038639	0.663421909	?
FBgn0036678	0.662339168	?
FBgn0262624	0.659930557	?
FBgn0035414	0.653776873	?
FBgn0036411	0.653390974	?
FBgn0052982	0.652567782	?
FBgn0264272	0.651577596	?
FBgn0037578	0.645667526	?
FBgn0052423	0.64243653	?
FBgn0000578	0.636511465	?
FBgn0032938	0.635831559	?
FBgn0036459	0.635121626	?
FBgn0032943	0.632120508	?
FBgn0035944	0.625931599	?
FBgn0036896	0.625815453	?
FBgn0035678	0.620383674	unclear
FBgn0038446	0.620153211	?
FBgn0002891	0.609952607	?
FBgn0031535	0.609758381	?
FBgn0264672	0.601136025	?
FBgn0037551	-0.589756854	?
FBgn0263773	-0.592297103	?
FBgn0267792	-0.593051871	?
FBgn0032077	-0.59734203	?
FBgn0035252	-0.599318215	?
FBgn0038588	-0.616165048	?
FBgn0037842	-0.616378309	?
FBgn0037723	-0.624876358	?
FBgn0027091	-0.633715862	?
FBgn0263930	-0.640443073	?
FBgn0001128	-0.642494719	?
FBgn0015221	-0.643329286	?
FBgn0035890	-0.648101015	?
FBgn0038429	-0.649734538	?
FBgn0035162	-0.655418265	?
FBgn0000566	-0.662734455	?
FBgn0034748	-0.671805615	?
FBgn0036826	-0.67521234	?
FBgn0013343	-0.680879346	?
FBgn0264005	-0.681166731	?
FBgn0026250	-0.68552891	?
FBgn0004611	-0.688974703	?
FBgn0036212	-0.690053551	?
FBgn0004118	-0.690672448	unclear
FBgn0003137	-0.69603103	?
FBgn0026418	-0.710541417	?
FBgn0265623	-0.712445604	?
FBgn0034401	-0.71465687	?
FBgn0036316	-0.716947845	?
FBgn0052195	-0.73389473	?
FBgn0003328	-0.748010104	?
FBgn0040299	-0.748258489	?
FBgn0000409	-0.760504323	?
FBgn0032693	-0.763903672	?
FBgn0085433	-0.765253987	?
FBgn0041180	-0.766078453	?
FBgn0267376	-0.76909837	?
FBgn0031529	-0.773126763	?
FBgn0034501	-0.782249944	?
FBgn0053100	-0.784148819	?
FBgn0001254	-0.786676627	?
FBgn0042213	-0.791728637	?
FBgn0031988	-0.793317588	?
FBgn0031245	-0.797248343	?
FBgn0050069	-0.80270877	?
FBgn0010235	-0.812452878	?
FBgn0011739	-0.843693438	?
FBgn0036062	-0.844852499	?
FBgn0034627	-0.850104289	?
FBgn0032929	-0.85254907	?
FBgn0011829	-0.85921981	?
FBgn0261975	-0.859387729	?
FBgn0063493	-0.876357577	?
FBgn0264574	-0.877041339	?
FBgn0053988	-0.883065612	?
FBgn0028833	-0.897764602	?
FBgn0013733	-0.908337964	?
FBgn0038721	-0.910665574	?
FBgn0020257	-0.91220529	?
FBgn0038720	-0.923858081	?
FBgn0267791	-0.92635059	?
FBgn0051014	-0.930600111	?
FBgn0261526	-0.93211155	?
FBgn0039766	-0.941073636	?
FBgn0033836	-0.950520621	?
FBgn0039877	-0.957685632	?
FBgn0034290	-0.975154854	?
FBgn0033408	-0.977569314	unclear
FBgn0031815	-0.979584298	?
FBgn0039355	-0.986612349	?
FBgn0033468	-0.988437212	?
FBgn0035976	-0.988982988	?
FBgn0053099	-1.003061882	?
FBgn0034705	-1.003803302	?
FBgn0004629	-1.005204739	?
FBgn0028424	-1.006005873	?
FBgn0031514	-1.010181442	?
FBgn0261952	-1.016297943	?
FBgn0011828	-1.018249312	?
FBgn0028691	-1.02131778	?
FBgn0050287	-1.022706589	?
FBgn0032076	-1.032159464	unclear
FBgn0032029	-1.034413934	?
FBgn0050035	-1.036764569	?
FBgn0032297	-1.040234148	?
FBgn0015229	-1.04084433	?
FBgn0033610	-1.041390864	unclear
FBgn0052473	-1.041550763	?
FBgn0000256	-1.045507474	?
FBgn0051774	-1.051826688	?
FBgn0033271	-1.054547563	?
FBgn0033421	-1.072647106	?
FBgn0261556	-1.076394355	?
FBgn0265296	-1.078595887	?
FBgn0016053	-1.082100602	?
FBgn0034568	-1.088615528	?
FBgn0038172	-1.097155239	?
FBgn0003943	-1.100457997	?
FBgn0085468	-1.100919342	?
FBgn0000337	-1.1070213	?
FBgn0037772	-1.107021631	?
FBgn0053144	-1.114559344	?
FBgn0267002	-1.121214721	?
FBgn0015568	-1.124614043	?
FBgn0264600	-1.128586785	?
FBgn0259936	-1.150704853	?
FBgn0035268	-1.16084364	?
FBgn0027575	-1.163988421	?
FBgn0037000	-1.174623217	?
FBgn0050485	-1.182592916	?
FBgn0034861	-1.189476886	?
FBgn0033732	-1.192812143	?
FBgn0262028	-1.193494229	?
FBgn0038804	-1.197957093	?
FBgn0037807	-1.199227934	?
FBgn0052182	-1.202018044	?
FBgn0036882	-1.202238342	unclear
FBgn0267985	-1.223423114	?
FBgn0266752	-1.236340546	unclear
FBgn0051955	-1.242115876	?
FBgn0262531	-1.244991638	?
FBgn0033221	-1.246183386	?
FBgn0039613	-1.255893926	MEI (vrg)
FBgn0039663	-1.256007239	?
FBgn0032799	-1.269617144	?
FBgn0031937	-1.270510906	?
FBgn0050488	-1.273880306	unclear
FBgn0004512	-1.281969251	?
FBgn0264950	-1.293317323	unclear
FBgn0267723	-1.30328345	?
FBgn0031413	-1.317490903	?
FBgn0036454	-1.322625763	MEI (vrg)
FBgn0033367	-1.32936663	?
FBgn0035241	-1.340151135	unclear
FBgn0034321	-1.343477579	?
FBgn0267667	-1.344780273	?
FBgn0039129	-1.348633143	?
FBgn0259683	-1.359072857	unclear
FBgn0051202	-1.364222847	?
FBgn0038391	-1.380043184	?
FBgn0046885	-1.384055418	?
FBgn0035388	-1.387395309	?
FBgn0033792	-1.394680012	MEI (vrg)
FBgn0262971	-1.402636492	unclear
FBgn0027565	-1.407925195	?
FBgn0263316	-1.417464159	?
FBgn0028899	-1.421754335	?
FBgn0063497	-1.429043891	?
FBgn0036028	-1.433822666	?
FBgn0265851	-1.441562314	MEI (vrg)
FBgn0038070	-1.486273028	?
FBgn0038946	-1.489364459	?
FBgn0027578	-1.501223037	unclear
FBgn0039282	-1.503584416	?
FBgn0063492	-1.511920215	?
FBgn0020372	-1.528629805	?
FBgn0265819	-1.539539166	unclear
FBgn0051414	-1.547010271	?
FBgn0039779	-1.574087882	?
FBgn0053494	-1.575823567	?
FBgn0027580	-1.580113582	unclear
FBgn0039736	-1.595264861	?
FBgn0036986	-1.596109337	Gene fusion
FBgn0040321	-1.609781235	?
FBgn0035308	-1.626107497	?
FBgn0043865	-1.627151916	?
FBgn0264604	-1.630212326	unclear
FBgn0034636	-1.643325445	?
FBgn0040752	-1.650456124	?
FBgn0050049	-1.688960311	?
FBgn0002922	-1.732410918	?
FBgn0058005	-1.734076275	?
FBgn0033578	-1.754851348	unclear
FBgn0039044	-1.759261285	?
FBgn0002354	-1.765692666	?
FBgn0035264	-1.772763712	?
FBgn0032025	-1.780186625	?
FBgn0267936	-1.828199103	MEI
FBgn0058160	-1.836091121	?
FBgn0036474	-1.854858083	unclear
FBgn0036350	-1.872862895	unclear
FBgn0035311	-1.878536991	unclear
FBgn0031678	-1.879473914	?
FBgn0035187	-1.888438843	MEI (vrg)
FBgn0050486	-1.910774725	?
FBgn0051809	-1.93406776	?
FBgn0259219	-1.982860051	MEI (vrg)
FBgn0039862	-2.021235758	?
FBgn0031417	-2.030466935	?
FBgn0053093	-2.082570003	?
FBgn0250910	-2.109245314	MEI (vrg)
FBgn0039085	-2.125039631	?
FBgn0050424	-2.132201633	?
FBgn0038039	-2.183883123	?
FBgn0033814	-2.218332034	?
FBgn0050438	-2.25110357	?
FBgn0267572	-2.306933033	?
FBgn0039851	-2.328626883	?
FBgn0266377	-2.331700338	?
FBgn0039356	-2.440234003	?
FBgn0029114	-2.44189726	?
FBgn0026592	-2.443457585	MEI (vrg)
FBgn0035312	-2.472251275	?
FBgn0035968	-2.477018123	?
FBgn0033187	-2.496533505	?
FBgn0028870	-2.585539	?
FBgn0041604	-2.596326811	?
FBgn0266782	-2.604860279	MEI (vrg)
FBgn0062928	-2.643440724	?
FBgn0034276	-2.670628816	?
FBgn0011230	-2.738325349	MEI (vrg)
FBgn0033154	-2.747523536	?
FBgn0038788	-2.801556306	?
FBgn0038742	-2.819106236	?
FBgn0035610	-2.842254998	MEI (vrg)
FBgn0038787	-2.920788413	?
FBgn0037549	-2.926631202	?
FBgn0085414	-3.53345526	?
FBgn0267130	-3.745688574	MEI (vrg)
FBgn0038243	-3.761474624	?
FBgn0034467	-3.785867305	MEI (vrg)
FBgn0036652	-3.856321313	?
FBgn0262020	-3.880628909	MEI (vrg)
FBgn0038741	-4.122290533	?
FBgn0033574	-4.347247999	?
FBgn0265089	-4.604574264	?
FBgn0263219	-4.927459605	?
FBgn0003567	-4.957575534	?
FBgn0039130	-5.576937333	?
FBgn0035638	-6.143609167	MEI (vrg)
